Lambda,W_C_mm1,W_C_mg1,W_C_md1
50,114.650186466165,110.456030782999,108.433897381644
75,124.012044750528,116.772756936893,113.610206524812
100,134.984138120843,124.254066763456,119.5315341027
125,149.309907558898,133.482938846474,126.771538286507
150,167.329484066231,144.162902081211,135.405187013665
175,189.255605691556,158.386061497353,146.318060369344
200,218.501169968863,176.591536582141,161.436652001256
225,258.098378844251,200.869606186658,181.793385508503
250,316.774124943816,237.954887946605,210.138832352858
275,411.264790194772,296.983236962619,257.217562279013
300,588.870455252398,412.843168097111,360.823318902816
325,965.63038022818,684.568714046054,586.508875671074
350,2520.85845923864,1833.52797317408,1406.01934414736
